Pos,Player,Tm,Year,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams
WR,Antonio Brown,PIT,2016,6,15,15,0,0,0,0,0,3,9,0,106,1284,12,0,0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 2nd Tm, SN: 1st Tm"
WR,Mike Evans,TAM,2016,2,16,16,0,0,0,0,0,0,0,0,96,1321,12,0,0,0,"PFF: 1st Tm, AP: 2nd Tm"
WR,Odell Beckham Jr.,NYG,2016,2,16,16,0,0,0,0,0,1,9,0,101,1367,10,0,0,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm, PFF: 2nd Tm"
WR,T.Y. Hilton,IND,2016,4,16,16,0,0,0,0,0,0,0,0,91,1448,6,0,0,0,"PFW: 1st Tm All-Conf., PFF: 2nd Tm"
TE,Travis Kelce,KAN,2016,3,16,15,0,0,0,0,0,1,-5,0,85,1125,4,0,0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
TE,Greg Olsen,CAR,2016,9,16,16,0,0,0,0,0,0,0,0,80,1073,3,0,0,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm, PFF: 2nd Tm"
LT,David Bakhtiari,GNB,2016,3,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AP: 2nd Tm, PFF: 2nd Tm"
T,Tyron Smith,DAL,2016,5,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
T,Trent Williams,WAS,2016,6,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PFW: 1st Tm All-Conf., PFF: 1st Tm, SN: 1st Tm"
T,Joe Thomas,CLE,2016,9,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PFW: 1st Tm All-Conf., FW: 1st Tm"
T,Donald Penn,OAK,2016,9,16,16,0,0,0,0,0,0,0,0,1,1,1,0,0,0,PFW: 1st Tm All-Conf.
G,Kelechi Osemele,OAK,2016,4,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 2nd Tm, SN: 1st Tm"
G,Zack Martin,DAL,2016,2,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm"
G,Marshal Yanda,BAL,2016,9,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm, PFF: 1st Tm, SN: 1st Tm"
G,T.J. Lang,GNB,2016,7,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PFW: 1st Tm All-Conf.
C,Travis Frederick,DAL,2016,3,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
C,Rodney Hudson,OAK,2016,5,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PFW: 1st Tm All-Conf.
C,Alex Mack,ATL,2016,7,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AP: 2nd Tm, PFF: 2nd Tm"
RG,David DeCastro,PIT,2016,4,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AP: 2nd Tm
RG,Kevin Zeitler,CIN,2016,4,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PFF: 2nd Tm
RT,Jack Conklin,TEN,2016,Rook,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AP: 1st Tm, PFF: 1st Tm"
RT,Marcus Cannon,NWE,2016,5,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AP: 2nd Tm, PFF: 2nd Tm"
RT,Mitchell Schwartz,KAN,2016,4,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AP: 2nd Tm
DE,Khalil Mack,OAK,2016,2,16,16,0,0,0,0,0,0,0,0,0,0,0,54,11,1,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
